drugbank_id,id
DB12499,1641
DB12415,1642
DB12253,1643
DB14969,1644
DB04468,1645
DB06832,1646
DB07933,1647
DB11674,1648
DB15024,1652
DB15367,1653
DB16165,1655
DB16221,1656
DB05253,1657
DB12637,1658
DB12988,1661
DB07215,1663
DB09199,1665
DB19311,1666
DB12662,1667
DB12390,1668
DB05490,1672
DB12557,1673
DB11811,1675
DB05653,1676
DB05467,1677
DB12320,1677
DB04796,1680
DB04891,1682
DB12369,1685
DB12558,1686
DB11885,1689
DB15639,1690
DB12267,1691
DB05944,1693
DB14904,1696
DB08142,1698
DB05169,1699
DB12802,1700
DB01179,1700
DB12588,1701
DB11740,1702
DB12048,1704
DB11689,1705
DB12183,1706
DB15393,1709
DB11651,1711
DB16107,1713
DB11666,1715
DB11665,1717
DB15399,1718
DB12064,1719
DB12591,1721
DB13930,1722
DB12015,1723
DB12570,1725
DB12432,1726
DB11798,1727
DB12429,1728
DB12094,1729
DB11907,1730
DB11832,1731
DB15408,1733
DB06195,1734
DB13005,1735
DB11845,1737
DB11977,1739
DB05524,1740
DB16891,1290
DB14845,1743
DB12121,1745
DB12307,1746
DB11648,1747
DB11969,1748
DB12140,1750
DB12114,1751
DB11679,1752
DB11851,1753
DB00179,1754
DB11952,1755
DB12744,1756
DB06137,1760
DB11913,1761
DB11911,1762
DB11662,1764
DB13040,1765
DB12001,1766
DB16828,1768
DB05465,1770
DB12742,1771
DB12129,1772
DB12784,1773
DB12387,1774
DB12962,1775
DB15157,1776
DB07101,1778
DB11974,1780
DB11896,1781
DB07941,1783
DB11778,1784
DB16232,1785
DB12978,1786
DB12601,1787
DB06252,1788
DB19169,1789
DB07159,1792
DB05984,1793
DB11663,1794
DB12180,1795
DB11743,1796
DB12108,1797
DB11772,1799
DB12400,1800
DB05412,1802
DB11741,1803
DB05552,1805
DB05075,1806
DB14636,1808
DB12282,1809
DB12566,1810
DB05470,1811
DB07138,1812
DB12854,1813
DB11973,1814
DB12904,1817
DB11886,1818
DB15133,1819
