chembl_id,id
CHEMBL2110372,374
CHEMBL30,375
CHEMBL2111286,376
CHEMBL1200988,377
CHEMBL227529,378
CHEMBL1201174,379
CHEMBL237500,380
CHEMBL1201743,381
CHEMBL1200399,382
CHEMBL160,383
CHEMBL1201414,384
CHEMBL1201476,384
CHEMBL1201460,384
CHEMBL1201534,385
CHEMBL1201657,386
CHEMBL1201513,387
CHEMBL1201448,388
CHEMBL1200644,389
CHEMBL917,390
CHEMBL2360464,391
CHEMBL1773,392
CHEMBL185,393
CHEMBL1201717,394
CHEMBL1201716,395
CHEMBL1201570,396
CHEMBL1201533,397
CHEMBL1201532,397
CHEMBL1201610,398
CHEMBL1201609,399
CHEMBL2103784,400
CHEMBL1201489,401
CHEMBL960,402
CHEMBL973,403
CHEMBL1200862,404
CHEMBL473,405
CHEMBL2355456,406
CHEMBL1083993,407
CHEMBL1388,408
CHEMBL544,409
CHEMBL1201620,410
CHEMBL1201621,411
CHEMBL1201515,412
CHEMBL1042,413
CHEMBL1536,414
CHEMBL1200666,415
CHEMBL1200622,416
CHEMBL846,417
CHEMBL3544909,418
CHEMBL1200810,419
CHEMBL1571,420
CHEMBL1399,421
CHEMBL1444,422
CHEMBL1200374,423
CHEMBL488,424
CHEMBL1200822,425
CHEMBL1200612,426
CHEMBL1404,427
CHEMBL1201540,428
CHEMBL1201629,429
CHEMBL1201644,430
CHEMBL1201639,431
CHEMBL1201542,432
CHEMBL1201543,433
CHEMBL1201631,434
CHEMBL1201656,435
CHEMBL1201653,436
CHEMBL1201635,437
CHEMBL1201628,438
CHEMBL1201630,439
CHEMBL1201545,440
CHEMBL1201638,441
CHEMBL1201611,442
CHEMBL1201634,443
CHEMBL1201538,444
CHEMBL1201613,445
CHEMBL1201642,446
CHEMBL1201497,447
CHEMBL1201539,448
CHEMBL1201640,449
CHEMBL1201655,450
CHEMBL1201541,451
CHEMBL1201643,452
CHEMBL1201627,453
CHEMBL1201546,454
CHEMBL1201641,455
CHEMBL1201496,456
CHEMBL1201664,457
CHEMBL2104391,458
CHEMBL1200517,459
CHEMBL2448612,460
CHEMBL831,461
CHEMBL1713,462
CHEMBL42,463
CHEMBL1200636,464
CHEMBL71,465
CHEMBL2358147,466
CHEMBL1108,467
CHEMBL1201060,468
CHEMBL1201155,469
CHEMBL1615372,470
CHEMBL654,471
CHEMBL715,472
CHEMBL3989694,473
CHEMBL1200469,474
CHEMBL3188993,475
CHEMBL1423,476
CHEMBL85,477
CHEMBL54,478
CHEMBL1200986,479
CHEMBL4297147,480
CHEMBL479,481
CHEMBL1200916,482
CHEMBL1257040,483
CHEMBL1375743,484
CHEMBL3989833,485
CHEMBL2095211,486
CHEMBL5314342,487
CHEMBL5314341,488
CHEMBL3545059,489
CHEMBL1963683,490
CHEMBL1051,491
CHEMBL1200799,492
CHEMBL1200896,493
CHEMBL1200963,494
CHEMBL1237105,495
CHEMBL1200721,496
CHEMBL1200761,497
CHEMBL1116,498
CHEMBL1201668,499
CHEMBL1201057,500
CHEMBL1489,501
CHEMBL1201129,502
CHEMBL1095097,503
CHEMBL1200542,504
CHEMBL1201010,505
CHEMBL1393,506
CHEMBL1200592,507
CHEMBL1509,508
CHEMBL1428,509
CHEMBL1480,510
CHEMBL1237119,511
CHEMBL494,512
CHEMBL962,513
CHEMBL3989695,514
CHEMBL1201567,515
CHEMBL1201568,516
CHEMBL932,517
CHEMBL1286,518
CHEMBL1201837,519
CHEMBL1265,520
CHEMBL712,521
CHEMBL24828,522
CHEMBL1373,523
CHEMBL1201192,524
CHEMBL1200377,525
CHEMBL405,526
CHEMBL501,527
CHEMBL1201735,528
CHEMBL1698,529
CHEMBL904,530
CHEMBL1200387,531
CHEMBL612,532
CHEMBL1200782,533
CHEMBL3544971,534
CHEMBL3989844,535
CHEMBL1693,536
CHEMBL1201178,537
CHEMBL1722,538
CHEMBL796,539
CHEMBL2062163,540
CHEMBL1200483,541
CHEMBL1237055,542
CHEMBL3989826,543
CHEMBL1707,544
CHEMBL1237065,545
CHEMBL1200531,546
CHEMBL1200599,547
CHEMBL1200665,548
CHEMBL1201159,549
CHEMBL688,550
CHEMBL1200890,551
CHEMBL2103744,552
CHEMBL3989716,553
CHEMBL270190,554
CHEMBL1701,555
CHEMBL1200825,556
CHEMBL1237104,557
CHEMBL3989768,558
CHEMBL2062266,559
CHEMBL1201120,560
CHEMBL1201770,561
CHEMBL1201163,562
CHEMBL596,563
CHEMBL1200817,564
CHEMBL2368861,565
CHEMBL1201047,566
CHEMBL1685,567
CHEMBL1200543,568
CHEMBL1201777,569
CHEMBL299400,570
CHEMBL511142,571
CHEMBL2062276,572
CHEMBL1324,573
CHEMBL953,574
CHEMBL211471,575
CHEMBL1678,576
CHEMBL1200933,577
CHEMBL812,578
CHEMBL1555,579
CHEMBL1025,580
CHEMBL1128,581
CHEMBL1200367,582
CHEMBL1200514,583
CHEMBL1200541,584
CHEMBL748,585
CHEMBL4297955,586
CHEMBL1201520,587
CHEMBL5315126,588
CHEMBL2103868,589
CHEMBL1201490,590
CHEMBL2111290,591
CHEMBL1670,592
CHEMBL635,593
CHEMBL1200845,594
CHEMBL1201173,595
CHEMBL1201749,596
CHEMBL632,597
CHEMBL389621,598
CHEMBL1504,599
CHEMBL1549,600
CHEMBL1159650,601
CHEMBL1200495,602
CHEMBL1200600,603
CHEMBL1200635,604
CHEMBL1200762,605
CHEMBL1200865,606
CHEMBL1200909,607
CHEMBL131,608
CHEMBL1512,609
CHEMBL1200342,610
CHEMBL1200384,611
CHEMBL1200538,612
CHEMBL2021430,613
CHEMBL1201081,614
CHEMBL1201109,615
CHEMBL1200386,616
CHEMBL1200500,617
CHEMBL1200545,618
CHEMBL1200877,619
CHEMBL1200908,620
CHEMBL1200968,621
CHEMBL1201064,622
CHEMBL650,623
CHEMBL1451,624
CHEMBL1501,625
CHEMBL1676,626
CHEMBL1766,627
CHEMBL1200376,628
CHEMBL1200449,629
CHEMBL1200562,630
CHEMBL1200732,631
CHEMBL1200989,632
CHEMBL1201014,633
CHEMBL1091,634
CHEMBL1161,635
CHEMBL1530428,636
CHEMBL1683,637
CHEMBL1200774,638
CHEMBL1200878,639
CHEMBL1200975,640
CHEMBL1201148,641
CHEMBL2040682,642
CHEMBL989,643
CHEMBL1152,644
CHEMBL1370,645
CHEMBL384467,646
CHEMBL1497,647
CHEMBL1650,648
CHEMBL1200617,649
CHEMBL1364144,650
CHEMBL1200953,651
CHEMBL1201012,652
CHEMBL1473,653
CHEMBL1276308,654
CHEMBL1201142,655
CHEMBL1200904,656
CHEMBL972,657
CHEMBL1201571,658
CHEMBL1566,659
CHEMBL1551,660
CHEMBL240597,661
CHEMBL395429,662
CHEMBL1201746,663
CHEMBL3244648,664
CHEMBL1026,665
CHEMBL1029,666
CHEMBL1201477,667
CHEMBL786,668
CHEMBL1405,669
CHEMBL135,670
CHEMBL1200430,671
CHEMBL1511,672
CHEMBL3185958,673
CHEMBL691,674
CHEMBL1018,675
CHEMBL1200973,676
CHEMBL1200980,677
CHEMBL1201151,678
CHEMBL411,679
CHEMBL1200749,680
CHEMBL1098,681
CHEMBL1200396,682
CHEMBL1561,683
CHEMBL1201483,684
CHEMBL2110368,685
CHEMBL1237135,686
CHEMBL3184143,687
CHEMBL1574,688
CHEMBL1628234,689
CHEMBL1696,690
CHEMBL1095292,691
CHEMBL1345,692
CHEMBL1702,693
CHEMBL1200912,694
CHEMBL3544906,695
CHEMBL3989855,696
CHEMBL1200724,697
CHEMBL18442,698
CHEMBL2109065,699
CHEMBL2028852,700
CHEMBL513,701
CHEMBL1795071,702
CHEMBL2105741,703
CHEMBL1201775,704
CHEMBL2095222,705
CHEMBL4594217,706
CHEMBL3989780,707
CHEMBL256087,708
CHEMBL271227,709
CHEMBL1200907,710
CHEMBL606,711
CHEMBL601719,712
CHEMBL2095212,713
CHEMBL2108184,714
CHEMBL2010601,715
CHEMBL1200699,716
CHEMBL2364574,717
CHEMBL3989740,716
CHEMBL1201821,718
CHEMBL1371,719
CHEMBL1795072,720
CHEMBL294199,721
CHEMBL2105729,722
CHEMBL1229517,723
CHEMBL2104987,724
CHEMBL1201134,725
CHEMBL1387,726
CHEMBL1531,727
CHEMBL1201139,728
CHEMBL1201146,729
CHEMBL717,730
CHEMBL1162,731
CHEMBL1200848,732
CHEMBL1200853,733
CHEMBL103,734
CHEMBL2107797,735
CHEMBL1200934,736
CHEMBL1389,735
CHEMBL1533,737
CHEMBL260538,738
CHEMBL1200807,739
CHEMBL1200624,740
CHEMBL1479,741
CHEMBL473417,742
CHEMBL832,743
CHEMBL897,744
CHEMBL1214124,745
CHEMBL957,746
CHEMBL1111,747
CHEMBL1201536,748
CHEMBL3,748
CHEMBL5303393,749
CHEMBL3301675,750
CHEMBL675,751
CHEMBL1654,752
CHEMBL4303669,753
CHEMBL3989569,754
CHEMBL3989401,755
CHEMBL503,756
CHEMBL1200563,757
CHEMBL1237061,758
CHEMBL2218894,759
CHEMBL1744447,760
CHEMBL690,761
CHEMBL393220,762
CHEMBL1064,763
CHEMBL1096,764
CHEMBL1752,765
CHEMBL193240,766
CHEMBL190,767
CHEMBL1200578,768
CHEMBL1200875,769
CHEMBL1370561,770
CHEMBL343448,771
CHEMBL1201468,772
CHEMBL1201466,773
CHEMBL1201649,774
CHEMBL1201467,775
CHEMBL2105395,776
CHEMBL1200598,777
CHEMBL1201165,778
CHEMBL1358,779
CHEMBL1200675,780
CHEMBL1201584,781
CHEMBL1174,782
CHEMBL3189072,783
CHEMBL1503,784
CHEMBL1201863,785
CHEMBL1567328,786
CHEMBL1200930,787
CHEMBL3989559,788
CHEMBL480,789
CHEMBL1200470,790
CHEMBL5314366,786
CHEMBL18,791
CHEMBL1201470,792
CHEMBL1201463,793
CHEMBL1200794,794
